DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_runshoes.arff,0.284982791,-0.569074937,13.01904884,28.79693841,11,0.183333333,0.454545455,0.545454545,6,0.363636364,4,5,2,0.6,0.4,0.6,14,60,14,0.021212121,2.5,1.224744871,2,5,0.970950594,0.04380999,18.4723043,0.853081453,22.16276694,trees.RandomForest(1): trees.SimpleCart(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_supreme.arff,2.746630411,17.01411971,1.757793343,281.9487731,8,0.001974334,0,0,0,0.875,7,0,2,0.760365252,0.239634748,0.760365252,0,4052,0,0,-1,-1,-1,-1,0.794432351,-1,-1,-1,-1,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_uktrainacc.arff,1.011988754,1.209913834,4.935409412,8.878730511,17,0.548387097,0,0,0,0.941176471,16,0,2,0.870967742,0.129032258,0.870967742,25,31,150,0.284629981,-1,-1,-1,-1,0.554778163,-1,-1,-1,-1,trees.J48(1): trees.BFTree(2): trees.SimpleCart(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_votesurvey.arff,1.177057167,1.635766192,21206.40839,59779.89583,5,0.104166667,0.2,0.2,1,0.6,3,1,4,0.375,0.104166667,0.375,0,48,0,0,2,0,2,2,1.866401451,0.123328624,6.061332907,0.870864469,15.13356263,trees.RandomForest(1): trees.J48(2): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_whale.arff,0.210987002,0.165632686,26.23766007,48.16725015,8,0.035087719,0.125,0.125,1,0.75,6,1,2,0.504385965,0.495614035,0.504385965,5,228,15,0.008223684,2,0,2,2,0.999944494,0.899966647,0.11115229,1,1.111090614,trees.LADTree(1): trees.REPTree(1): trees.SimpleCart(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_wildcat.arff,1.157694471,3.506452203,78.13044712,82.04993061,6,0.036809816,0.333333333,0.333333333,2,0.5,3,2,2,0.711656442,0.288343558,0.711656442,0,163,0,0,2,0,2,2,0.866571888,0.093271137,9.383520083,0.968482726,9.290890128,trees.FT(1): trees.LADTree(2): trees.RandomForest(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anneal.arff,2.022468153,4.607030275,405.1732698,348.5042682,39,0.043429844,0.358974359,0.820512821,32,0.153846154,6,14,6,0.76169265,0,0.76169265,0,898,0,0,3.21875,2.059351213,2,10,-1,0.081843427,-13.21845212,-1,-12.21845212,trees.FT(1): trees.RandomForest(1): trees.RandomTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anneal.ORIG.arff,2.022468153,4.607030275,405.1732698,348.5042682,39,0.043429844,0.179487179,0.820512821,32,0.153846154,6,7,6,0.76169265,0,0.76169265,898,898,22175,0.633173434,2.3125,2.070335799,1,9,-1,0.044331969,-23.55708531,-1,-22.55708531,trees.LADTree(1): trees.RandomForest(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appendicitis.arff,0.226852281,1.179226428,0.199772012,0.417912399,8,0.075471698,0,0,0,0.875,7,0,2,0.801886792,0.198113208,0.801886792,0,106,0,0,-1,-1,-1,-1,0.718138422,-1,-1,-1,-1,trees.RandomForest(1): trees.FT(2): trees.J48graft(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar1.arff,2.210987489,7.601930006,232.2809082,119.6140182,30,0.247933884,0,0,0,0.966666667,29,0,2,0.925619835,0.074380165,0.925619835,0,121,0,0,-1,-1,-1,-1,0.382060954,-1,-1,-1,-1,trees.REPTree(1): trees.SimpleCart(1): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
